model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,1,0.6777,0.6777,0.0041,1.1445,0.6778,0.6778,0.0041,1.1447
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,2,0.6777,0.6777,0.0041,1.1445,0.6778,0.6778,0.0041,1.1447
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,3,0.6777,0.6777,0.0041,1.1445,0.6778,0.6778,0.0041,1.1447
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,4,0.0118,0.0114,0.0034,0.0011,0.0010,0.0009,0.0005,0.0001
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,5,0.0032,0.0031,0.0006,0.0003,0.0009,0.0008,0.0004,0.0000
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,6,0.0020,0.0020,0.0004,0.0002,0.0003,0.0003,0.0001,0.0000
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,7,0.0017,0.0016,0.0004,0.0002,0.0021,0.0020,0.0007,0.0001
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,8,0.0012,0.0012,0.0003,0.0001,0.0007,0.0007,0.0001,0.0002
novel,20260511_140642,faceforensics++,novel_20260511_140642.pth,9,0.0012,0.0012,0.0003,0.0002,0.0005,0.0005,0.0001,0.0000
