model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,1,0.7044,0.7044,0.0042,1.1271,0.7042,0.7042,0.0042,1.1261
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,2,0.7044,0.7044,0.0042,1.1271,0.7042,0.7042,0.0042,1.1261
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,3,0.7044,0.7044,0.0042,1.1271,0.7042,0.7042,0.0042,1.1261
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,4,0.0233,0.0232,0.0070,0.0025,0.0051,0.0051,0.0023,0.0009
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,5,0.0049,0.0049,0.0014,0.0004,0.0032,0.0032,0.0010,0.0002
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,6,0.0044,0.0044,0.0010,0.0003,0.0068,0.0067,0.0009,0.0006
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,7,0.0026,0.0026,0.0006,0.0003,0.0016,0.0016,0.0006,0.0001
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,8,0.0020,0.0020,0.0006,0.0002,0.0033,0.0033,0.0015,0.0004
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,9,0.0021,0.0021,0.0006,0.0002,0.0009,0.0009,0.0003,0.0001
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,10,0.0020,0.0020,0.0005,0.0003,0.0020,0.0020,0.0003,0.0002
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,11,0.0017,0.0017,0.0005,0.0002,0.0021,0.0021,0.0005,0.0004
novel,20260512_094344,faceforensics++,novel_20260512_094344.pth,12,0.0019,0.0019,0.0006,0.0002,0.0015,0.0015,0.0002,0.0003
