model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,1,1.3200,1.3200,0.0227,0.3953,1.3322,1.3322,0.0228,0.4010
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,2,1.3201,1.3201,0.0227,0.3952,1.3322,1.3322,0.0228,0.4010
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,3,1.3202,1.3202,0.0227,0.3953,1.3322,1.3322,0.0228,0.4010
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,4,0.0287,0.0280,0.0050,0.0024,0.0032,0.0031,0.0006,0.0005
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,5,0.0028,0.0027,0.0007,0.0003,0.0028,0.0027,0.0005,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,6,0.0020,0.0020,0.0005,0.0002,0.0019,0.0019,0.0002,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,7,0.0015,0.0014,0.0003,0.0001,0.0014,0.0014,0.0002,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,8,0.0013,0.0012,0.0003,0.0002,0.0020,0.0019,0.0002,0.0004
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,9,0.0009,0.0009,0.0002,0.0001,0.0009,0.0009,0.0001,0.0003
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,10,0.0010,0.0009,0.0002,0.0001,0.0034,0.0033,0.0002,0.0006
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,11,0.0010,0.0009,0.0002,0.0001,0.0015,0.0014,0.0002,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,12,0.0008,0.0007,0.0002,0.0001,0.0016,0.0015,0.0005,0.0003
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,13,0.0006,0.0005,0.0001,0.0001,0.0007,0.0007,0.0001,0.0001
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,14,0.0005,0.0005,0.0001,0.0001,0.0023,0.0023,0.0002,0.0003
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,15,0.0006,0.0006,0.0001,0.0001,0.0005,0.0005,0.0001,0.0001
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,16,0.0008,0.0007,0.0002,0.0002,0.0016,0.0015,0.0007,0.0000
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,17,0.0002,0.0001,0.0001,0.0000,0.0009,0.0009,0.0000,0.0003
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,18,0.0007,0.0007,0.0001,0.0001,0.0007,0.0007,0.0001,0.0001
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,19,0.0005,0.0004,0.0001,0.0001,0.0007,0.0006,0.0001,0.0000
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,20,0.0002,0.0002,0.0001,0.0000,0.0008,0.0007,0.0001,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,21,0.0002,0.0002,0.0000,0.0000,0.0008,0.0008,0.0000,0.0002
novel,20260517_053254,faceforensics++,novel_20260517_053254.pth,22,0.0006,0.0005,0.0001,0.0001,0.0007,0.0007,0.0000,0.0002
