model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,1,0.8450,0.8450,0.0251,0.4416,0.8520,0.8520,0.0248,0.4433
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,2,0.8451,0.8451,0.0251,0.4416,0.8520,0.8520,0.0248,0.4433
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,3,0.8451,0.8451,0.0251,0.4416,0.8520,0.8520,0.0248,0.4433
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,4,0.0302,0.0294,0.0054,0.0025,0.0040,0.0039,0.0011,0.0002
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,5,0.0029,0.0028,0.0007,0.0003,0.0054,0.0052,0.0005,0.0014
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,6,0.0020,0.0019,0.0005,0.0002,0.0020,0.0020,0.0004,0.0002
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,7,0.0016,0.0015,0.0004,0.0002,0.0013,0.0013,0.0002,0.0002
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,8,0.0010,0.0010,0.0002,0.0001,0.0014,0.0014,0.0001,0.0005
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,9,0.0014,0.0014,0.0003,0.0002,0.0009,0.0009,0.0001,0.0001
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,10,0.0010,0.0009,0.0002,0.0001,0.0023,0.0022,0.0004,0.0003
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,11,0.0009,0.0009,0.0002,0.0001,0.0024,0.0023,0.0003,0.0004
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,12,0.0006,0.0006,0.0001,0.0001,0.0010,0.0009,0.0001,0.0002
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,13,0.0004,0.0004,0.0001,0.0000,0.0007,0.0007,0.0001,0.0001
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,14,0.0007,0.0007,0.0002,0.0001,0.0006,0.0006,0.0001,0.0001
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,15,0.0006,0.0006,0.0001,0.0001,0.0005,0.0005,0.0001,0.0000
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,16,0.0004,0.0004,0.0001,0.0000,0.0012,0.0011,0.0001,0.0006
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,17,0.0005,0.0005,0.0001,0.0001,0.0018,0.0018,0.0001,0.0003
novel,20260515_161904,faceforensics++,novel_20260515_161904.pth,18,0.0004,0.0004,0.0001,0.0001,0.0005,0.0005,0.0001,0.0001
