model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,1,0.4253,0.4253,0.0041,1.1463,0.3395,0.3395,0.0041,1.1454
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,2,0.3137,0.3137,0.0041,1.1463,0.2915,0.2915,0.0041,1.1454
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,3,0.2791,0.2791,0.0041,1.1463,0.2661,0.2661,0.0041,1.1454
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,4,0.0152,0.0151,0.0081,0.0015,0.0022,0.0021,0.0022,0.0005
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,5,0.0023,0.0023,0.0018,0.0003,0.0011,0.0011,0.0010,0.0000
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,6,0.0021,0.0021,0.0009,0.0002,0.0021,0.0021,0.0013,0.0002
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,7,0.0015,0.0015,0.0006,0.0002,0.0224,0.0224,0.0014,0.0050
novel,20260512_160927,faceforensics++,novel_20260512_160927.pth,8,0.0013,0.0013,0.0004,0.0001,0.0045,0.0045,0.0007,0.0005
