model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,1,1.0250,1.0250,0.0734,0.5281,1.0383,1.0383,0.0747,0.5287
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,2,0.0134,0.0131,0.0025,0.0013,0.0022,0.0021,0.0009,0.0001
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,3,0.0016,0.0016,0.0003,0.0002,0.0007,0.0007,0.0001,0.0001
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,4,0.0010,0.0010,0.0002,0.0002,0.0005,0.0005,0.0002,0.0001
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,5,0.0007,0.0007,0.0002,0.0001,0.0003,0.0003,0.0001,0.0000
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,6,0.0005,0.0005,0.0001,0.0001,0.0007,0.0007,0.0001,0.0001
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,7,0.0005,0.0005,0.0001,0.0001,0.0007,0.0007,0.0001,0.0002
novel,20260604_231554,faceforensics++,novel_20260604_231554.pth,8,0.0004,0.0003,0.0001,0.0001,0.0004,0.0004,0.0000,0.0002
