model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,1,1.0468,1.0468,0.0210,0.4694,1.0602,1.0602,0.0210,0.4733
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,2,1.0468,1.0468,0.0210,0.4694,1.0602,1.0602,0.0210,0.4733
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,3,1.0468,1.0468,0.0210,0.4694,1.0602,1.0602,0.0210,0.4733
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,4,0.0122,0.0118,0.0024,0.0011,0.0018,0.0017,0.0010,0.0000
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,5,0.0016,0.0015,0.0004,0.0002,0.0011,0.0010,0.0002,0.0001
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,6,0.0009,0.0009,0.0002,0.0001,0.0008,0.0008,0.0001,0.0002
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,7,0.0008,0.0008,0.0002,0.0001,0.0013,0.0013,0.0002,0.0002
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,8,0.0006,0.0006,0.0002,0.0001,0.0010,0.0009,0.0005,0.0002
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,9,0.0005,0.0005,0.0001,0.0001,0.0006,0.0005,0.0001,0.0001
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,10,0.0004,0.0004,0.0001,0.0001,0.0002,0.0002,0.0000,0.0000
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,11,0.0004,0.0004,0.0001,0.0001,0.0007,0.0007,0.0001,0.0003
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,12,0.0003,0.0003,0.0001,0.0000,0.0003,0.0003,0.0000,0.0001
novel,20260603_055220,faceforensics++,novel_20260603_055220.pth,13,0.0004,0.0004,0.0001,0.0001,0.0007,0.0007,0.0001,0.0001
