model,datetime,dataset,weight_file,epoch,loss
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,1,0.1320
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,2,0.0522
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,3,0.0358
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,4,0.0279
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,5,0.0221
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,6,0.0213
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,7,0.0176
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,8,0.0150
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,9,0.0144
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,10,0.0130
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,11,0.0119
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,12,0.0118
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,13,0.0110
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,14,0.0101
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,15,0.0096
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,16,0.0090
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,17,0.0086
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,18,0.0079
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,19,0.0078
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,20,0.0075
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,21,0.0069
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,22,0.0065
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,23,0.0065
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,24,0.0060
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,25,0.0061
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,26,0.0054
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,27,0.0055
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,28,0.0054
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,29,0.0049
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,30,0.0048
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,31,0.0048
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,32,0.0046
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,33,0.0044
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,34,0.0067
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,35,0.0041
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,36,0.0040
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,37,0.0043
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,38,0.0040
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,39,0.0036
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,40,0.0040
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,41,0.0034
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,42,0.0037
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,43,0.0032
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,44,0.0035
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,45,0.0032
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,46,0.0029
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,47,0.0034
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,48,0.0032
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,49,0.0031
baseline,20260427_040026,faceforensics++,baseline_20260427_040026.pth,50,0.0029
