model,datetime,dataset,weight_file,epoch,train_loss,val_loss
baseline,20260603_030251,faceforensics++,baseline_20260603_030251.pth,1,0.4770,0.3725
baseline,20260603_030251,faceforensics++,baseline_20260603_030251.pth,2,0.2583,0.3201
