model,datetime,dataset,weight_file,epoch,train_loss,val_loss
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,1,0.1756,0.0816
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,2,0.0588,0.0701
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,3,0.0323,0.0771
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,4,0.0225,0.0569
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,5,0.0179,0.0549
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,6,0.0150,0.0578
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,7,0.0144,0.0868
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,8,0.0121,0.0588
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,9,0.0107,0.0515
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,10,0.0096,0.0623
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,11,0.0084,0.0562
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,12,0.0097,0.0498
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,13,0.0088,0.0551
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,14,0.0077,0.0581
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,15,0.0071,0.0876
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,16,0.0070,0.0828
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,17,0.0068,0.0593
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,18,0.0060,0.0539
baseline,20260517_053254,faceforensics++,baseline_20260517_053254.pth,19,0.0053,0.0772
