model,datetime,dataset,weight_file,epoch,train_loss,val_loss
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,1,0.1121,0.0511
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,2,0.0372,0.0463
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,3,0.0232,0.0388
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,4,0.0188,0.0529
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,5,0.0199,0.0466
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,6,0.0129,0.0300
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,7,0.0120,0.0291
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,8,0.0107,0.0334
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,9,0.0101,0.0359
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,10,0.0101,0.0260
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,11,0.0076,0.0302
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,12,0.0075,0.0321
baseline,20260603_055220,faceforensics++,baseline_20260603_055220.pth,13,0.0073,0.0290
