model,datetime,dataset,weight_file,epoch,loss
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,1,0.1795
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,2,0.0473
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,3,0.0359
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,4,0.0342
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,5,0.0378
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,6,0.0351
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,7,0.0317
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,8,0.0346
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,9,0.0310
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,10,0.0320
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,11,0.0212
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,12,0.0280
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,13,0.0312
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,14,0.0179
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,15,0.0149
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,16,0.0161
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,17,0.0152
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,18,0.0143
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,19,0.0185
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,20,0.0187
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,21,0.0155
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,22,0.0135
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,23,0.0217
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,24,0.0125
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,25,0.0149
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,26,0.0162
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,27,0.0192
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,28,0.0103
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,29,0.0112
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,30,0.0090
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,31,0.0096
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,32,0.0106
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,33,0.0065
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,34,0.0069
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,35,0.0091
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,36,0.0112
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,37,0.0073
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,38,0.0086
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,39,0.0077
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,40,0.0097
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,41,0.0135
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,42,0.0070
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,43,0.0062
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,44,0.0064
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,45,0.0036
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,46,0.0039
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,47,0.0112
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,48,0.0039
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,49,0.0033
baseline,20260412_133413,UADFA,baseline_20260412_133413.pth,50,0.0057
