model,datetime,dataset,weight_file,epoch,train_loss,val_loss
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,1,0.1772,0.0920
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,2,0.0578,0.0659
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,3,0.0325,0.0754
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,4,0.0236,0.0586
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,5,0.0188,0.0588
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,6,0.0153,0.0542
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,7,0.0127,0.0533
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,8,0.0120,0.0608
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,9,0.0117,0.0551
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,10,0.0104,0.0590
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,11,0.0092,0.0565
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,12,0.0087,0.0531
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,13,0.0073,0.0635
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,14,0.0076,0.0564
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,15,0.0068,0.0559
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,16,0.0074,0.0606
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,17,0.0062,0.0636
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,18,0.0067,0.0672
baseline,20260515_161904,faceforensics++,baseline_20260515_161904.pth,19,0.0050,0.0719
