model,datetime,dataset,weight_file,epoch,train_loss,train_bce,train_pull,train_push,val_loss,val_bce,val_pull,val_push
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,1,1.0018,1.0018,0.0079,0.6041,1.0035,1.0035,0.0079,0.6050
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,2,0.0139,0.0133,0.0035,0.0023,0.0057,0.0055,0.0015,0.0006
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,3,0.0027,0.0025,0.0008,0.0003,0.0049,0.0048,0.0008,0.0005
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,4,0.0019,0.0018,0.0006,0.0002,0.0036,0.0035,0.0009,0.0002
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,5,0.0017,0.0016,0.0004,0.0002,0.0021,0.0020,0.0005,0.0001
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,6,0.0009,0.0008,0.0003,0.0001,0.0063,0.0061,0.0011,0.0009
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,7,0.0012,0.0011,0.0003,0.0001,0.0041,0.0040,0.0003,0.0007
novel,20260605_142505,faceforensics++,novel_20260605_142505.pth,8,0.0007,0.0006,0.0002,0.0001,0.0034,0.0033,0.0003,0.0009
