epoch,t_loss,t_bce,v_loss,v_bce,v_pull,v_push
1,0.7046557563872153,0.69108311217805,0.7094311073094075,0.7003674524966217,0.04739517513721212,0.04324135417265257
2,0.6992806879579883,0.6910505010593142,0.7079884141589762,0.7003674524966217,0.04370815717348397,0.032501460740035876
3,0.6980833735215095,0.6910618575541134,0.7072156604226963,0.7003674524966217,0.04410607622230791,0.024376002471632123
4,0.08236244813516204,0.08034177743289268,0.027452057407551286,0.026905596278855092,0.003632351667043662,0.0018322589296108779
5,0.020971848708120692,0.020452852849534832,0.022897851197010162,0.022288485248282565,0.0013161592829507333,0.004777500114686091
6,0.010994617738826769,0.010689114443534336,0.00668271540673951,0.006517476262814178,0.0006565261808766276,0.0009958649333664154
7,0.0056543327644923294,0.0054779989842598225,0.005255173618732028,0.005117823242023481,0.0004936732858737819,0.0008798305371313005
8,0.0039010211986399,0.003770072541515655,0.004573842805304898,0.004420744990570405,0.00018343700531999827,0.0013475414103626079
9,0.002896459098367632,0.0027989156028520516,0.008537189000079824,0.008296188430241977,0.00028713603592294654,0.0021228698655916035
10,0.002768998208458512,0.002683380453401709,0.011035003421172853,0.010558330457493171,0.0003115514063194643,0.0044551781356209595
